('01001211', 'Paradigm in Agricultural Extension')
('01310499', 'Pulp & Paper Technology Project')
('01311512', 'Principles of Forest Resource & Envi.Adminis.')
('01311521', 'Forest & Environmental Laws & Conventions')
('01311596', 'Selected Topics in Forest Res. & Envi.Admin.')
('01311597', 'Seminar')
('01311598', 'Special Problems')
('01311599', 'Thesis')
('01312691', 'Advanced Research Techniques in Forestry')
('01312697', 'Seminar')
('01312699', 'Thesis')
('01313521', 'Social Forestry Program Develop.& Evaluation')
('01313598', 'Special Problems')
('01313599', 'Thesis')
('01314391', 'Basic Res.Tech. in Wildlife & Range Manag.')
('01314411', 'Forest Ornithology')
('01314422', 'Wildlife Study & Management Techniques')
('01314423', 'Tropical Wildlife Ecology & Management')
('01314441', 'Principles of Range Management')
('01314496', 'Selected Topics in Wildlife & Range Manag.')
('01314497', 'Seminar')
('01314498', 'Special Problems')
('01314499', 'Wildlife & Range Management Project')
('01349390', 'Cooperative Education Preperation')
('01349490', 'Cooperative Education')
('01350101', 'Ways of Life and Culture in ASEAN')
('01352141', 'Introduction to Journalism')
('01352212', 'Intro.to Speech Communi.& Performing Arts')
('01352231', 'Principles of Advertising')
('01352242', 'Photojournalism')
('01352251', 'Introduction to Broadcastings')
('01352261', 'Introduction to Films')
('01352313', 'Organizational Communication')
('01352315', 'Theories of Mass Communication')
('01352318', 'Media Literacy')
('01352319', 'Information & Commu.Tech.on Society')
('01352322', 'Public Relations Techniques')
('01352332', 'Advertising Creativity & Production')
('01352333', 'Marketing Communication')
('01352352', 'Radio & Television News Reporting')
('01352353', 'Scriptwriting for Radio, Television & Films')
('01352354', 'Television Program Production I')
('01352434', 'Advertising Writing')
('01352441', 'Magazine Editing')
('01352451', 'Radio Program Production II')
('01352499', 'Practicum')
('01352532', 'Big Data Analytics')
('01352541', 'Media Study in the Digital Age')
('01352562', 'Knowledge  Management in Modern Organization')
('01352571', 'Develop.of Integrated Market.Communi.Tools')
('01352595', 'Independent Study')
('01352597', 'Seminar')
('01352599', 'Thesis')
('01354312', 'Khmer II')
('01355111', 'Foundation English I')
('01355112', 'Foundation English II')
('01355113', 'Foundation English III')
('01355115', 'English for Pre-Medical Students II')
('01355118', 'Intro.to English Reading & Writing Skills')
('01355201', 'Fundamental English Reading')
('01355202', 'Fundamental English Writing')
('01355203', 'Fundamental English Structure')
('01355204', 'Fundamental English Listening-Speaking')
('01355205', 'Reading for Mass Communication in English')
('01355206', 'Technical English')
('01355207', 'English Correspondence')
('01355208', 'English through Songs')
('01355209', 'Communicative English for Careers')
('01355211', 'English Structure')
('01355212', 'Advanced English Structure')
('01355232', 'Intergrated English Reading & Writing Skills')
('01355251', 'Communicative Business English')
('01355252', 'Business English Writing')
('01355253', 'English for Logistics Management')
('01355254', 'English for International Trade Communication')
('01355256', 'English for Journalism')
('01355259', 'English for Office Management')
('01355261', 'Translation from English into Thai')
('01355271', 'English for Ground & In-flight Attendants')
('01355273', 'English for Tourist Guides')
('01355274', 'English for Hotel Business')
('01355276', 'English for Tourism')
('01355278', 'English for International Relations')
('01355281', 'English Language Systems')
('01355301', 'English for Athletes & Referees')
('01355302', 'Report Writing in English')
('01355303', 'English for Employment')
('01355304', 'English for Tourism Industry')
('01355305', 'English for Exporting')
('01355306', 'English for Tourism Guidance')
('01355308', 'English for Airline Personnel')
('01355341', 'Public Speaking in English')
('01355351', 'English for Hotel Studies')
('01355352', 'English for Tourism')
('01355364', 'Advanced Translation from Thai into English')
('01355365', 'Translation in Mass Communication')
('01355369', 'Translation in Culture')
('01355382', 'English Sound Systems')
('01355383', 'Eng.Varieties & Cultures of Eng.Native Speak.')
('01355390', 'Cooperative Education Preparation')
('01355431', 'Advanced Integrated English Language Skills')
('01355433', 'Introduction to Research Writing in English')
('01355443', 'Project Presentation Skills in English')
('01355496', 'Selected Topics in English')
('01355501', 'English Required by Graduate School')
('01355551', 'English and Globalization')
('01355561', 'English Language Systems')
('01355563', 'Comparative Study of English & Thai')
('01355571', 'Translation')
('01355591', 'Research Metho. in Eng. for Inter.Communi.')
('01355597', 'Seminar')
('01355599', 'Thesis')
('01355691', 'Advan.Res.Method.in Eng.for Inter.Commu.')
('01355696', 'Selected Topics in English for Inter.Commu.')
('01355697', 'Seminar')
('01356101', 'Elementary French I')
('01356102', 'Elementary French II')
('01356103', 'Elementary French III')
('01356104', 'Elementary French IV')
('01356116', 'Foundation French II')
('01356117', 'Language & French Sound System')
('01356212', 'French Structure in Text')
('01356221', 'Basic French Reading')
('01356222', 'French Reading for Careers')
('01356232', 'Contemporary France')
('01356241', 'French Listening-Speaking for Communication')
('01356242', 'French Speaking-Listening for Careers')
('01356332', 'French Writing for Careers')
('01356342', 'French for Job Application & Further Studies')
('01356431', 'Advanced French Writing')
('01356432', 'French Report Writing')
('01356451', 'Specialized French Translation')
('01356461', 'French for Tourism')
('01356481', 'French for Business')
('01356497', 'Seminar')
('01356498', 'Special Problems')
('01357111', 'Elementary German I')
('01357112', 'Elementary German II')
('01357113', 'Elementary German III')
('01357116', 'Foundation German II')
('01357213', 'German Structure II')
('01357214', 'German Word Structure & Sound System')
('01357222', 'German Reading II')
('01357224', 'Introduction to German Art & Music')
('01357242', 'German Listening-Speaking II')
('01357243', 'Communicative German for Careers')
('01357272', 'Introduction to German Art & Music')
('01357274', 'Evolution in  German Prose & Poetry I')
('01357282', 'German Structure II')
('01357283', 'German Word Structure & Sound System')
('01357311', 'German for Standardized Tests')
('01357322', 'The German Language in Mass Media')
('01357332', 'German Writing II')
('01357342', 'German Conversation II')
('01357352', 'German Translation II')
('01357361', 'Communicative German for Careers')
('01357381', 'The German Language in Mass Media')
('01357461', 'German for Tourism')
('01357462', 'German for Hotel Studies')
('01357471', 'German for Hotel Studies')
('01357490', 'Cooperative Education')
('01358101', 'Elementary Japanese I')
('01358102', 'Elementary Japanese II')
('01358103', 'Elementary Japanese III')
('01358104', 'Elementary Japanese IV')
('01358112', 'Foundation Japanese II')
('01358142', 'Fundamental Japanese Listening-Speaking II')
('01358212', 'Intermediate Japanese II')
('01358222', 'Japanese Reading & Oral Reports II')
('01358232', 'Intermediate Japanese Writing')
('01358242', 'Intermediate Japanese Listening-Speaking II')
('01358312', 'Advanced Japanese II')
('01358321', 'Japanese Studies')
('01358323', 'Reading in Japanese Medieval Literary Works')
('01358332', 'Japanese Essay Writing II')
('01358342', 'Advanced Japanese Listening-Speaking II')
('01358424', 'Japanese Short Stories')
('01358443', 'Japanese through Media')
('01358452', 'Japanese Interpretation')
('01358490', 'Cooperative Education')
('01360312', 'Sanskrit II')
('01361101', 'Introductory Thai Usage')
('01361102', 'Thai Practical Writing')
('01361103', 'Thai Critical Reading')
('01361206', 'Non-Fiction Writing')
('01361211', 'Principles of Thai Language')
('01361221', 'Linguistics for Learning Thai Language')
('01361222', 'Sounds & Sound Systems in Thai')
('01361233', 'Principles & Arts of Reading')
('01361234', 'Principles & Arts of Writing')
('01361313', 'Evolotion of Thai Language')
('01361317', 'Evolution of Thai Orthography')
('01361318', 'Thai Dialects')
('01361319', 'Evolution of Thai Textbooks')
('01361331', 'Spoken & Written Language')
('01361332', 'Prose Writing')
('01361335', 'Intro.to Trans.from Foreign Lang.into Thai')
('01361336', 'Academic Communicative  Skills')
('01361354', 'Thai Language Usage in Printing Media')
('01361355', 'Thai Language Usage in Broadcasting Media')
('01361361', 'Speaking for Specific Purpose')
('01361362', 'Non-fiction Writing')
('01361413', 'Thai Language in Different Periods')
('01361432', 'Novel Writing')
('01361498', 'Special Problems')
('01361599', 'Thesis')
('01361611', 'Advanced Lingusitic Analysis of Thai Language')
('01361691', 'Advanced Research Methods in Thai Language')
('01361697', 'Seminar')
('01361699', 'Thesis')
('01362101', 'Chinese I')
('01362102', 'Chinese II')
('01362112', 'Foundation Chinese II')
('01362201', 'Chinese III')
('01362202', 'Chinese IV')
('01362212', 'Intermediate Chinese II')
('01362222', 'Chinese Reading & Report II')
('01362233', 'Chinese Calligraphy')
('01362241', 'Chinese Conversation I')
('01362242', 'Chinese Conversation II')
('01362282', 'Modern & Contempory Chinese Civilization')
('01362301', 'Chinese V')
('01362312', 'Advanced Chinese II')
('01362313', 'Prin.of Chinese Grammar & Chinese Structure')
('01362323', 'Chinese Literature on Society & Culture')
('01362332', 'Chinese Essay Writing II')
('01362343', 'Chinese Public Speaking')
('01362371', 'Elementary Chinese for Business')
('01362451', 'Chinese Translation')
('01362461', 'Chinese for Tourism')
('01362462', 'Chinese for Tourist Guide')
('01362463', 'Chinese for Hotel Business')
('01363112', 'Thai Grammar for Foreigners')
('01363122', 'Thai Listening-Speaking II')
('01363132', 'Thai Reading II')
('01363139', 'Thai Conversation in Everyday Life I')
('01363142', 'Thai Writing II')
('01363252', 'Thai Conversation in Everyday Life II')
('01363253', 'Public Speaking')
('01363254', 'Creative Writing Thai Prose')
('01363314', 'Registers in the Thai Language')
('01363326', 'Advanced Communicative Thai for Foreigners II')
('01363361', 'Translation for Communication I')
('01363371', 'Thai for Tourism I')
('01364101', 'Spanish for Communication I')
('01364102', 'Spanish for Communication II')
('01365101', 'Portuguese for Communication I')
('01367311', 'Hindi I')
('01371111', 'Information Media')
('01371112', 'Information Literacy')
('01372101', 'English Phonetics')
('01372201', 'Word Structure in English')
('01372202', 'Word and Meaning in English')
('01372203', 'Language in Media')
('01372204', 'Language & Identity')
('01372205', 'Foreign Language Learning Techniques')
('01372208', 'Language & Thought')
('01372212', 'Introduction to Linguistics')
('01372213', 'Articulatory Phonetics')
('01372311', 'Morphological & Syntactical Analysis')
('01372313', 'Linguistics & Its Application')
('01372411', 'Language in Socio-Cultural Context')
('01372512', 'Applied Phonetics & Phonology')
('01372522', 'Applied Morphology & Syntax')
('01372531', 'Semantics & Pragmatics')
('01372533', 'Applied Pragmatics')
('01372542', 'Thai Regional Dialects')
('01372561', 'Linguistic Theories & Applications')
('01372562', 'Psycholinguistics')
('01372565', 'Corpus Linguistics')
('01372567', 'Language Disorders')
('01372595', 'Independent Study')
('01372596', 'Selected Topics in Applied Linguistics')
('01372597', 'Seminar')
('01372599', 'Thesis')
('01372641', 'Historical & Comparative Linguistics')
('01372696', 'Selected Topics in Applied Linguistics')
('01372697', 'Seminar')
('01372699', 'Thesis')
('01373102', 'Visual Culture and Life')
('01373103', 'Narrative and Medicine')
('01373111', 'Literary Appreciation')
('01373202', 'Interpreting Literature')
('01373211', 'Periods & Movements in Literature & Art')
('01373212', 'Classical Mythology & The Bible')
('01373221', 'Evolution of English Literature')
('01373222', 'Evolution of American Literature')
('01373311', 'Theories & Approaches of Literary Criticism')
('01373323', 'Contemporary Literary Works')
('01373332', 'Poetry')
('01373333', 'Drama')
('01373334', "International Children's Literature")
('01373442', 'Masterpieces of World Literature')
('01373452', 'Comparative Literature')
('01373496', 'Selected Topics in English Literature')
('01374221', 'History of French Literature')
('01374342', 'Selected French Literary Works II')
('01376101', 'Literature & Life')
('01376212', 'Poetic Diction')
('01376221', 'Evolution of Thai Literature')
('01376322', 'Lit. of Thonburi & Rattanakosin Periods')
('01376324', 'Modern Literary Works')
('01376334', 'Literature of the Performing Arts')
('01376343', 'Lit. Works of Chao Phraya Phra Khlang (Hon)')
('01376452', 'Works Affecting Thai Language Development')
('01376458', 'Literary Works Adapted to the Performing Arts')
('01376459', 'Literature & Environment')
('01377211', 'History of German Literature I')
('01385111', 'Theory of Thai Music')
('01385132', 'Major Instrument II')
('01385212', 'Form & Analysis of Thai Music I')
('01385223', 'Evolution of Thai country songs')
('01385232', 'Major Instrument IV')
('01385242', 'Second Minor Instrument')
('01385243', 'Thai Ensembles I')
('01385251', 'Classical Thai Singing I')
('01385253', 'Thai Music Field Studies')
('01385257', 'Singing Thai country songs')
('01385262', 'Northeastern Thai Folk Music')
('01385263', 'Northern Thai Folk Music Skills')
('01385271', 'Music & Thai Society')
('01385321', 'Development of Thai Musical Instruments')
('01385324', 'Phra Pradit Phairoh (Mi) School of Music')
('01385327', 'Changwang Thua Phattayakosol School of Music')
('01385332', 'Major Instrument VI')
('01385344', 'Thai Ensembles IV')
('01385354', 'Sepha')
('01385362', 'Southern Thai Folk Music')
('01385363', 'Central Thai Folk Music Skills')
('01385372', 'Thai Music in Ceremonies')
('01385373', 'Maintenance of Thai Musical Instruments')
('01385375', 'Thai Music & the Visual Art')
('01385382', 'Media Prod.Disseminate Thai Music with Compu.')
('01385491', 'Music Research Methodology')
('01385493', 'Thai Music Performance Project')
('01385497', 'Seminar')
('01386112', 'Music Theory II')
('01386121', 'Music Appreciation')
('01386122', 'Introduction to Ethnomusicology')
('01386142', 'Secondary Instrumental Studies II')
('01386152', 'Beginning Piano II')
('01386162', 'Small Ensemble II')
('01386164', 'Chorus II')
('01386166', 'Wind Symphony II')
('01386172', 'Principal Instrumental Studies II')
('01386181', 'Music Business')
('01386199', 'Project in Music')
('01386212', 'Music Theory IV')
('01386221', 'History of Eastern Music')
('01386223', 'History of Western Music II')
('01386232', 'Solfege & Aural Training II')
('01386242', 'Secondary Instrumental Studies IV')
('01386252', 'Beginning  Piano IV')
('01386262', 'Small Ensemble IV')
('01386264', 'Piano Accompanying II')
('01386266', 'Wind Symphony IV')
('01386272', 'Principal Instrumental Studies IV')
('01386312', 'Music Composition II')
('01386313', 'Music Arranging')
('01386315', 'Current Popular Music')
('01386320', 'History of Western Music III')
('01386322', 'King Rama IX Compositions')
('01386332', 'Solfege & Aural Training IV')
('01386342', 'Secondary Instrumental Studies VI')
('01386362', 'Small Ensemble VI')
('01386364', 'Piano Accompanying IV')
('01386366', 'Wind Symphony VI')
('01386372', 'Principal Instrumental Studies VI')
('01386382', 'Music for Children II')
('01386383', 'Music for Children III')
('01386386', 'Piano Pedagogy')
('01386388', 'Winds Pedagogy')
('01386389', 'Percussion Pedagogy')
('01386412', 'Music Composition IV')
('01386414', 'Orchestration II')
('01386415', 'Counterpoint I')
('01386417', 'Computer Technology in Music')
('01386419', 'Senior Composition Recital')
('01386431', 'Musical Form & Analysis')
('01386462', 'Ensemble VIII')
('01386463', 'Basic Conducting')
('01386472', 'Senior Recital')
('01386482', 'Wind Band Director II')
('01386498', 'Special Problems')
('01386499', 'Professional Training in Music')
('01386599', 'Thesis')
('01387101', 'The Art of Living with Others')
('01387102', 'General Philosophy')
('01387103', 'Philosophy of Sufficiency Econ.& Buddhism')
('01387104', 'Philosophy & Religion in Asean Countries')
('01387111', 'Introduction to Philosophy')
('01387121', 'Logic')
('01387212', 'History of Western Philosophy II')
('01387222', 'Comtemporary Indian Philosophy')
('01387223', 'Chinese Philosophy')
('01387323', 'Aesthetics')
('01387341', 'Philosophy of Religion')
('01387443', 'Philosophy of Language')
('01387513', 'Symbolic Logic')
('01387521', 'Philosophy of Madhyamika & Vedanta')
('01387531', 'Problems & Theories of Existentialism')
('01387544', 'Analysis of Environmental Philosophy')
('01387599', 'Thesis')
('01387612', 'Hermeneutics in Philosophy & Religion')
('01387621', 'Ethics and the World Moral Crisis')
('01387697', 'Seminar')
('01387699', 'Thesis')
('01388111', 'Introduction to Religion')
('01388121', 'Buddhist Ethics')
('01388211', 'History of Religions')
('01388221', 'Theravada Buddhism')
('01388222', 'Buddhism & the Environment')
('01388231', 'Christianity')
('01388241', 'Islam')
('01388263', 'Ethics and Life')
('01388311', 'Religious Experience')
('01388322', 'Buddhism in Thailand')
('01388411', 'Comparative Religion')
('01388611', 'Analysis & Comparison of Religion')
('01390101', 'Personality Development for Careers')
('01390102', 'Creative Tourism')
('01390110', 'Professionals & Laws for Tourism Industry')
('01390111', 'Tourism in Global Dynamics')
('01390112', 'Psy. Crpss-Cultural Communication Services')
('01390113', 'Intro.to Lodging & Food Service Business')
('01390114', 'Introduction to MICE and Event Business')
('01390216', 'Tourist Behavior')
('01390251', 'Airlines Business')
('01390318', 'Human Resource Management in Tourism Industry')
('01390342', 'Creative Marketing for Tourism')
('01390361', 'Meeting & Incentive Tour Management')
('01390363', 'Exhibition Management')
('01390364', 'Festival & Special Event Management')
('01390365', 'Venue Management')
('01390371', 'Front Office Operations & Management')
('01390372', 'Food & Beverage Service Operations')
('01390373', 'Housekeeping Operations & Management')
('01390374', 'Cetering Operations Management')
('01390452', 'Sustainable Tourism Resource Development')
('01390490', 'Co-operative Education')
('01390491', 'Basic Research Methodology  in Tour.Innova.')
('01390497', 'Seminar')
('01394212', 'Eastern Language and Culture')
('01394213', 'Eastern Language Phonetics & Phonology')
('01394597', 'Seminar')
('01394599', 'Thesis')
('01395101', 'Communicative Korean I')
('01395102', 'Communicative Korean II')
('01395103', 'Communicative Korean III')
('01395104', 'Communicative Korean IV')
('01395105', 'Korean Reading & Oral Report')
('01396112', 'Business Chinese II')
('01396142', 'Business Chinese Conversation II')
('01396212', 'Business Chinese IV')
('01396222', 'Chinese Reading for Career II')
('01396231', 'Chinese Writing for Communication')
('01396242', 'Business Chinese Conversation IV')
('01396281', 'Chinese for Sociocultural Studies')
('01396312', 'Business Chinese VI')
('01396321', 'Chinese Literary Works I')
('01396342', 'Business Chinese Conversation VI')
('01396361', 'Chinese for Business Public Relation')
('01396381', 'Chinese for Politics & Economics')
('01396411', 'Chinese for Proficiency Test')
('01396441', 'Chinese for Business Presentation')
('01396452', 'Chinese for Business Interpretation')
('01396462', 'Chinese for Airline Business')
('01396464', 'Chinese for International Trade')
('01396490', 'Cooperative Education')
('01396552', 'Advanced Chinese Interpretation')
('01396562', 'Chinese Grammar Teaching')
('01396571', 'Chinese Linguistics')
('01396572', 'Chinese Paleography')
('01397112', 'Business Japanese II')
('01397211', 'Business Japanese III')
('01397312', 'Business Japanese VI')
('01397322', 'Japanese Literary Works II')
('01397342', 'Business Japanese Conversation VI')
('01397381', 'Japanese for Politics & Economics')
('01397411', 'Japanese for Proficiency Test')
('01397441', 'Japanese for Business Presentation')
('01397463', 'Japanese for Tourism Business')
('01397464', 'Japanese for International Trade')
('01397490', 'Cooperative Education')
('01397511', 'Japanese for Graduate Students')
('01397561', 'Teaching Japanese as a Foreign Language')
('01397572', 'Contrastive Study of Japanese & Thai')
('01399101', 'Communicative Vietnamese I')
('01401114', 'General Botany')
('01401161', 'Green Biology for Architectural Design')
('01401341', 'Principles of Plant Taxonomy')
('01401351', 'Introductory Plant Physiology')
('01401371', 'Plant Cell Biology')
('01401399', 'Botany Practicum')
('01401411', 'Plant Anatomy')
('01401413', 'Morphology of Vascular  Plants')
('01401414', 'Seed Biology')
('01401451', 'Metabolism,Plant Growth & Development')
('01401456', 'Plant Response to Environmental Stress')
('01401462', 'Economic Botany')
('01401463', 'Evolutionary Biology of Plant')
('01401465', 'Reading in Botany')
('01401473', 'Methodology in Plant Tissue Culture')
('01401481', 'Plant Ecology')
('01401491', 'Research Methods in Botany')
('01401496', 'Selected Topics in Botany')
('01401497', 'Seminar')
('01401499', 'Botany Project')
('01401511', 'Comparative Plant Anatomy')
('01401541', 'Palynology')
('01401542', 'Advanced Plant Taxonomy')
('01401551', 'Plant Metabolism')
('01401561', 'Phytochemistry')
('01401566', 'Teaching Experiences in Botany')
('01401583', 'Tropical Terrestrial Ecology')
('01401597', 'Seminar')
('01401598', 'Special Problems')
('01401599', 'Thesis')
('01402101', 'Beauty Products Literacy')
('01402311', 'Biochemistry I')
('01402312', 'Laboratory in Biochemistry I')
('01402313', 'Biochemistry II')
('01402314', 'Laboratory in Biochemistry II')
('01402321', 'Biochemical Instrumentation')
('01402421', 'DNA Techniques')
('01402423', 'Physical Biochemistry')
('01402431', 'Computational Biochemistry')
('01402441', 'Enzymology')
('01402442', 'Nucleic Acid Biochemistry')
('01402444', 'Lipid Biochemistry')
('01402451', 'Human Biochemistry')
('01402461', 'Plant Biochemistry')
('01402472', 'Biochemical Toxicology')
('01402482', 'Agricultural Biochemistry')
('01402499', 'Research Project in Biochemistry')
('01402513', 'Advanced Biochemistry Metabolism')
('01402521', 'Advanced Biochemical Instrumentation')
('01402542', 'Advanced Protein Biochemistry')
('01402551', 'Biochemistry of Human Diseases')
('01402591', 'Research Techniques in Biochemistry')
('01402597', 'Seminar')
('01402599', 'Thesis')
('01402621', 'NMR Spectroscopy of Biomolecules')
('01402682', 'Frontiers in Biochemical Research')
('01402697', 'Seminar')
('01402698', 'Special Problems')
('01402699', 'Thesis')
('01403111', 'General Chemistry')
('01403112', 'Laboratory in General Chemistry')
('01403113', 'Basic Chemistry I')
('01403114', 'Lab.in Fundamentals of General Chemistry')
('01403115', 'Basic Chemistry II')
('01403117', 'Fundamentals of General Chemistry')
('01403118', 'Basic Chemistry Laboratory')
('01403123', 'Organic Chemistry for Medical Sciences')
('01403211', 'Inorganic Chemistry I')
('01403221', 'Organic Chemistry')
('01403222', 'Laboratory in Organic Chemistry')
('01403224', 'Organic Chemistry II')
('01403226', 'Organic Chemistry Laboratory II')
('01403231', 'Chemical Quantitative Analysis')
('01403232', 'Laboratory in Chemical Quantitative Analysis')
('01403233', 'Principles of Analytical Chemistry')
('01403243', 'Physical Chemistry II')
('01403244', 'Fundamental Physical Chemistry')
('01403291', 'Chemical Literature')
('01403311', 'Basic Inorganic Chemistry')
('01403313', 'Inorganic Chemistry II')
('01403322', 'Organic Chemistry IV')
('01403325', 'Fundamental of Natural Products')
('01403332', 'Instrumental Analysis II')
('01403333', 'Laboratory in Intrumental Analysis')
('01403343', 'Physical Chemistry IV')
('01403352', 'Industrial Instrumentation Analysis')
('01403353', 'Industrial Chemistry Laboratory')
('01403361', 'Hydrocarbon Processing')
('01403362', 'Petrochemistry')
('01403365', 'Polymer Chemistry I')
('01403414', 'Applied Inorganic Chemistry')
('01403441', 'Nanomaterials')
('01403455', 'Environmental Chemistry')
('01403465', 'Polymer Chemistry II')
('01403497', 'Seminar')
('01403498', 'Special Problems')
('01403499', 'Research Project in Chemistry')
('01403512', 'Organometallic Chemistry')
('01403514', 'Spectroscopic Methods in Inorganic Chemistry')
('01403515', 'Advanced Coordination Chemistry')
('01403517', 'Chemistry of F-block Elements & Boron')
('01403518', 'X-ray Techniques for Inorganic Substances')
('01403522', 'Physical Organic Chemistry')
('01403525', 'Advanced Organic Reactions II')
('01403526', 'Natural Products')
('01403527', 'Bioorganic Chemistry')
('01403528', 'Organometallic Chem. & Asymmetric Synthesis')
('01403531', 'Quality Assurance in Analytical Chemistry')
('01403535', 'Analytical Spectroscopy')
('01403536', 'Instrumental Analysis Laboratory')
('01403537', 'Thermal Analysis')
('01403542', 'Practical Physical Chemistry')
('01403543', 'Group Theory')
('01403544', 'Kinetics & Mechanism of Chemical Reactions')
('01403545', 'Functional Nanomaterials')
('01403546', 'Computational Chemistry')
('01403547', 'Statistical Mechanics in Chemistry')
('01403549', 'Chemistry of Heterogeneous Catalysis')
('01403553', 'Industrial Reactions Kinetics')
('01403554', 'Industrial Unit Operations')
('01403555', 'Chemistry & Technology of Textile Coloration')
('01403571', 'Computer-aided Molecular Design')
('01403572', 'Solid State Chemistry')
('01403581', 'Chemistry of Gemstones')
('01403591', 'Research Methods in Chemistry')
('01403596', 'Selected Topics in Chemistry')
('01403597', 'Seminar')
('01403598', 'Special Problems')
('01403599', 'Thesis')
('01403621', 'Advanced Organic Reactions & Synthesis')
('01403622', 'Methodologies in Organic Synthesis')
('01403623', 'Medicinal Chemistry')
('01403635', 'Industrial Electrochemistry')
('01403696', 'Selected Topics in Chemistry')
('01403697', 'Seminar')
('01403698', 'Special Problems')
('01403699', 'Thesis')
('01404101', 'General Science')
('01406691', 'Advanced Research Techniques in Bioscience')
('01406692', 'Bioethics')
('01406697', 'Seminar')
('01406699', 'Thesis')
('01411131', 'Physical Geology')
('01411221', 'General Meteorology')
('01411231', 'Structural Geology')
('01411241', 'Minerals & Rocks')
('01411243', 'Sedimentology')
('01411251', 'Principles of Geophysics')
('01411252', 'Laboratory in Principles of Geophysics')
('01411311', 'Stratigraphy')
('01411312', 'Planetary Sciences')
('01411331', 'Principles of Geomorphology')
('01411341', 'Petrology')
('01411371', 'Soil Mechanics in Geotechnology')
('01411372', 'Rock Mechanics in Geotechnology')
('01411381', 'Geographical Information System in Earth Sci.')
('01411422', 'Hydrogeology')
('01411431', 'Regional Tectonics')
('01411432', 'Geoarchaeology')
('01411442', 'Gemology')
('01411445', 'Mineral Exploration')
('01411446', 'Gem Identification')
('01411447', 'Gemological Instrumentation Techniques')
('01411451', 'Applied Geophysics II')
('01411452', 'Petroleum Geophysics')
('01411461', 'Applied Geochemistry')
('01411484', 'Environmental  Pollution & Control')
('01411487', 'Environ. Impact Assessment in Earth Sciences')
('01411492', 'Scientific Research Instrumentation')
('01411496', 'Selected Topics in Earth Science')
('01411497', 'Seminar')
('01411498', 'Special Problems')
('01411499', 'Earth Science Project')
('01411521', 'Hydrometeotechnology')
('01411572', 'Site Analysis on Natural Resources')
('01411596', 'Selected Topics in Earth Science & Technology')
('01411597', 'Seminar')
('01411599', 'Thesis')
('01411697', 'Seminar')
('01411699', 'Thesis')
('01416311', 'Principles of Genetics')
('01416312', 'Laboratory in Genetics')
('01416422', 'Plant Genetics')
('01416451', 'Molecular Cell Genetics')
('01416453', 'Introduction to Molecular Genetics')
('01416454', 'Introduction to Bioinformatics')
('01416456', 'Genetic Engineering I')
('01416457', 'Genome & DNA Markers')
('01416458', 'Laboratory in Genetic Engineering')
('01416461', 'Computational Biology')
('01416471', 'Introduction to Population Genetics')
('01416481', 'Genetics & Evolution')
('01416483', 'Genetic Toxicology')
('01416497', 'Seminar')
('01416498', 'Special Problems')
('01416499', 'Genetic Project')
('01416541', 'Cytogenetics')
('01416554', 'DNA Markers & Applications')
('01416561', 'Bioinformatics')
('01416562', 'Advanced Computational Biology')
('01416563', 'High-throunghput DNA sequencing technology')
('01416574', 'Conservation Genetics')
('01416582', 'Immunological Genetics')
('01416591', 'Research Methods in Genetics')
('01416596', 'Selected Topics in Genetics')
('01416597', 'Seminar')
('01416598', 'Special Problems')
('01416599', 'Thesis')
('01416661', 'Bioinformatics for Analysis & Applications')
('01416692', 'Teaching Experiences in Genetics')
('01416696', 'Seleted Topics in Genetics')
('01416697', 'Seminar')
('01416699', 'Thesis')
('01417101', 'Basic Mathematics')
('01417110', 'Elementary Applied Mathematics')
('01417111', 'Calculus I')
('01417112', 'Calculus II')
('01417116', 'Introductory Applied Mathematics')
('01417117', 'Calculus for Business')
('01417167', 'Engineering Mathematics I')
('01417168', 'Engineering Mathematics II')
('01417231', 'Principles of Mathematics')
('01417242', 'Introductory Differential Equations')
('01417267', 'Engineering Mathematics III')
('01417268', 'Engineering Mathematics IV')
('01417312', 'Introductory Complex Analysis')
('01417321', 'Introductory Abstract Algebra')
('01417322', 'Basic Linear Algebra')
('01417342', 'Intermediate Differential Equations')
('01417343', 'Introductory Numerical Analysis')
('01417371', 'Finite Differences & Difference Equations')
('01417381', 'Introductory Linear Programming')
('01417383', 'Introductory Optimization')
('01417411', 'Intermediate Real Analysis')
('01417413', 'Introductory Measure Theory')
('01417422', 'Intermediate Linear Algebra')
('01417424', 'Differential Geometry')
('01417425', 'Introductory Topology')
('01417432', 'Introductory Analytic Number Theory')
('01417463', 'Introductory Mathematical Modeling')
('01417471', 'Introductory Combinatorial Mathematics')
('01417482', 'Financial Mathematics II')
('01417483', 'Financial Models')
('01417499', 'Mathematics Project')
('01417512', 'Complex Analysis I')
('01417522', 'Algebra II')
('01417532', 'Analytic Number Theory')
('01417543', 'Numerical Analysis I')
('01417597', 'Seminar')
('01418104', 'IT Updates')
('01418105', 'Digital Creatives Arts')
('01418110', 'Introduction to Computer Science')
('01418111', 'Computer Applications')
('01418112', 'Fundamental Programming Concepts')
('01418113', 'Computer Programming')
('01418114', 'Introduction to Computer Science')
('01418116', 'Computer Programming')
('01418120', 'Introduction to Computer')
('01418130', 'Computer & Information Technology')
('01418132', 'Fundamentals of Computing')
('01418140', 'Introduction to Computer Science')
